date,open,high,low,close,volume
2026-06-12,150.0000,176.5200,149.3400,160.9500,522131790
2026-06-15,171.7400,193.0000,168.3500,192.5000,256226632
2026-06-16,200.5100,225.6400,195.1300,201.8000,322149250
2026-06-17,209.8400,213.7999,187.0100,191.8200,201719498
2026-06-18,188.3900,190.0000,172.1100,185.0000,272126781
2026-06-22,176.0420,176.7500,154.0000,154.6000,169183799
2026-06-23,151.0600,165.5000,147.1100,156.1100,155848109
2026-06-24,154.1954,159.8600,150.7200,154.5400,76101541
2026-06-25,156.6250,160.6500,150.0000,153.0000,62212435
2026-06-26,150.6200,158.4000,148.5100,153.2300,126932861
2026-06-29,157.3550,166.1700,151.7356,164.1900,81443101
2026-06-30,163.3800,172.4000,161.6400,170.8600,82047546
2026-07-01,171.5650,171.7400,155.0000,157.5400,109317597
2026-07-02,159.7250,162.1600,155.8800,162.0000,61257120
2026-07-06,165.9500,167.8950,155.0400,160.4200,188831328
2026-07-07,158.9200,159.2999,148.8600,149.4700,83779737
2026-07-08,152.5500,152.9300,145.2000,148.3000,60949410
2026-07-09,150.4450,153.5000,147.5900,152.1600,46468592
2026-07-10,150.1250,150.5700,145.0700,145.3000,46825995
2026-07-13,144.7000,144.9200,136.7800,139.1400,71456511
2026-07-14,140.9500,143.3300,135.5200,136.0800,46694833
2026-07-15,137.5050,139.3400,132.1501,135.2700,58040919
2026-07-16,135.0100,137.7600,130.7400,131.1100,58725579
2026-07-17,127.4300,130.3299,122.1200,123.9900,83706220
2026-07-20,125.2850,125.7000,119.6800,119.8500,57337250
2026-07-21,122.1050,129.8800,120.3600,123.5400,79718078
2026-07-22,123.2900,124.7700,115.1900,115.2600,92731796
2026-07-23,115.2050,118.5500,110.8500,118.2400,75246453
2026-07-24,116.0050,117.0000,111.4000,115.0700,56786082
